X,Y,METER_ID,STREET_ADD,STATUS,LATITUDE,LONGITUDE,LONLATCONC
6057373.0822013915,2123834.3609156311,G3500-2,,,37.81474868,-122.24586660,"-122.2458666, 37.81474868"
6057325.5514565557,2123981.2392307967,G3500-3,,,37.81514955,-122.24604060,"-122.2460406, 37.81514955"
6057392.9696288109,2124228.2370963842,G3600-1,,,37.81583122,-122.24582320,"-122.2458232, 37.81583122"
6057422.6736376435,2124011.6141700447,G3600-2,,,37.81523793,-122.24570640,"-122.2457064, 37.81523793"
6057465.7457299829,2124170.8671323806,G3600-4,,,37.81567742,-122.24556760,"-122.2455676, 37.81567742"
6057494.9228369743,2124276.0139037222,G3600-6,,,37.81596763,-122.24547340,"-122.2454734, 37.81596763"
6057427.1854396462,2124349.4740586281,G3650-1,,,37.81616587,-122.24571260,"-122.2457126, 37.81616587"
6057485.8867658079,2124566.0172607154,G3700-1,,,37.81676347,-122.24552340,"-122.2455234, 37.81676347"
6057560.1572865546,2124516.0127675533,G3700-2,,,37.81662997,-122.24526310,"-122.2452631, 37.81662997"
6057519.8397818953,2124691.8080196381,G3700-3,,,37.81711061,-122.24541400,"-122.245414, 37.81711061"
6057595.9246034771,2124646.1693313867,G3700-4,,,37.81698919,-122.24514770,"-122.2451477, 37.81698919"
6057638.6797673106,2124800.9124602079,G3750-2,,,37.81741628,-122.24500970,"-122.2450097, 37.81741628"
6057576.6667679846,2124896.2223089635,G3800-1,,,37.81767481,-122.24523050,"-122.2452305, 37.81767481"
6057685.3732434809,2124970.1138934642,G3800-2,,,37.81788327,-122.24485900,"-122.244859, 37.81788327"
6057644.5419603139,2125143.1394660473,G3900-1,,,37.81835628,-122.24501150,"-122.2450115, 37.81835628"
6064169.091903314,2120979.887621969,GF1310,1310 Glenfield Ave Oakland CA,,37.80725653,-122.22216230,"-122.2221623, 37.80725653"
6064185.1368187219,2120967.7925017923,GF1312,1312 Glenfield Ave Oakland CA,,37.80722413,-122.22210600,"-122.222106, 37.80722413"
6064201.1643457264,2120956.3026953787,GF1314,1314 Glenfield Ave Oakland CA,,37.80719339,-122.22204980,"-122.2220498, 37.80719339"
6064220.1019718945,2120942.8145333827,GF1316,1316 Glenfield Ave Oakland CA,,37.80715731,-122.22198340,"-122.2219834, 37.80715731"
6050275.6708713174,2118212.9230115414,HA0808,0808 Harrison St Oakland CA,NO METER FOUND,37.79894700,-122.27006400,"-122.270064, 37.798947"
6050354.3449265659,2118312.9562760442,HA0810,0810 Harrison St Oakland CA,,37.79922576,-122.26979830,"-122.2697983, 37.79922576"
6050354.3449265659,2118312.9562760442,HA0812,0812 Harrison St Oakland CA,,37.79922576,-122.26979830,"-122.2697983, 37.79922576"
6050372.6841287315,2118349.0536447912,HA0814,0814 Harrison St Oakland CA,,37.79932583,-122.26973720,"-122.2697372, 37.79932583"
6050300.8867001384,2118262.7040799707,HA0816,0816 Harrison St Oakland CA,NO METER FOUND,37.79908500,-122.26998000,"-122.26998, 37.799085"
6050555.9098121524,2118702.8426353782,HA1000,1000 Harrison St Oakland CA,,37.80030679,-122.26912630,"-122.2691263, 37.80030679"
6050507.564436391,2118739.5308822095,HA1001,1001 Harrison St Oakland CA,,37.80040502,-122.26929600,"-122.269296, 37.80040502"
6050565.1548723876,2118721.0814440548,HA1002,1002 Harrison St Oakland CA,,37.80035735,-122.26909550,"-122.2690955, 37.80035735"
6050576.4698103964,2118741.7900640517,HA1004,1004 Harrison St Oakland CA,,37.80041480,-122.26905770,"-122.2690577, 37.8004148"
6050586.5465618968,2118761.214565888,HA1006,1006 Harrison St Oakland CA,,37.80046866,-122.26902410,"-122.2690241, 37.80046866"
6050596.6784313917,2118780.4888055474,HA1008,1008 Harrison St Oakland CA,,37.80052211,-122.26899030,"-122.2689903, 37.80052211"
6050606.2676510662,2118800.1196717918,HA1010,1010 Harrison St Oakland CA,,37.80057651,-122.26895840,"-122.2689584, 37.80057651"
6050549.6585123092,2118820.0326897204,HA1011,1011 Harrison St Oakland CA,,37.80062825,-122.26915560,"-122.2691556, 37.80062825"
6050617.3660540581,2118821.6334082931,HA1012,1012 Harrison St Oakland CA,,37.80063616,-122.26892140,"-122.2689214, 37.80063616"
6050625.7544887215,2118837.3499123007,HA1014,1014 Harrison St Oakland CA,,37.80067975,-122.26889340,"-122.2688934, 37.80067975"
6050567.9875438958,2118855.6280909628,HA1015,1015 Harrison St Oakland CA,,37.80072694,-122.26909450,"-122.2690945, 37.80072694"
6050519.4072604775,2118693.4122080505,HA1016,1016 Harrison St Oakland CA,NO METER FOUND,37.80027900,-122.26925200,"-122.269252, 37.800279"
6050522.1034493148,2118698.4597701281,HA1018,1018 Harrison St Oakland CA,NO METER FOUND,37.80029300,-122.26924300,"-122.269243, 37.800293"
6050637.2830089778,2118906.0544992983,HA1102,1102 Harrison St Oakland CA,NO METER FOUND,37.80086900,-122.26885800,"-122.268858, 37.800869"
6050644.7938207239,2118921.2083403766,HA1108,1108 Harrison St Oakland CA,NO METER FOUND,37.80091100,-122.26883300,"-122.268833, 37.800911"
6050647.4831198156,2118925.8920580447,HA1110,1110 Harrison St Oakland CA,NO METER FOUND,37.80092400,-122.26882400,"-122.268824, 37.800924"
6050894.9209451377,2119404.1289624721,HA1302,1302 Harrison St Oakland CA,NO METER FOUND,37.80225000,-122.26799900,"-122.267999, 37.80225"
6050899.7355680615,2119414.2352414578,HA1306,1306 Harrison St Oakland CA,NO METER FOUND,37.80227800,-122.26798300,"-122.267983, 37.802278"
6050905.1207278967,2119423.9665212184,HA1310,1310 Harrison St Oakland CA,NO METER FOUND,37.80230500,-122.26796500,"-122.267965, 37.802305"
6050910.2240641415,2119434.0675508827,HA1314,1314 Harrison St Oakland CA,NO METER FOUND,37.80233300,-122.26794800,"-122.267948, 37.802333"
6051342.8472146392,2120293.3932600468,HA1613,1613 Harrison St Oakland CA,NO METER FOUND,37.80471500,-122.26650700,"-122.266507, 37.804715"
6051344.0371728987,2120295.191484794,HA1615,1615 Harrison St Oakland CA,NO METER FOUND,37.80472000,-122.26650300,"-122.266503, 37.80472"
6052582.5320712328,2122662.3147033006,HA2257,2257 Harrison St Oakland CA,,37.81128385,-122.26237120,"-122.2623712, 37.81128385"
6052589.012045145,2122681.1562010497,HA2259,2259 Harrison St Oakland CA,,37.81133592,-122.26235000,"-122.26235, 37.81133592"
